sum,397.02067712080964
mean,0.025755476945884547
std,1.1068183799547058
len,15416.0
amax,15.341753343239217
amin,-23.522822738728657
planet_a,mars
planet_b,jupiter
instrument,sensex
sum,380.0968779135452
mean,0.024643210445639493
std,1.0818382755386597
len,15425.0
amax,15.341753343239217
amin,-22.61053793496354
planet_a,mars
planet_b,saturn
instrument,sensex
sum,499.0265585643652
mean,0.03222228698678655
std,1.0873871709619372
len,15488.0
amax,14.8704902867715
amin,-23.522822738728657
planet_a,mars
planet_b,pluto
instrument,sensex
sum,413.9251546243198
mean,0.02686430131258546
std,1.1031338677499745
len,15408.0
amax,14.8704902867715
amin,-23.522822738728657
planet_a,mars
planet_b,uranus
instrument,sensex
sum,538.4493056039096
mean,0.03490078465153699
std,1.1064210080848487
len,15428.0
amax,11.080333065520943
amin,-23.522822738728657
planet_a,mars
planet_b,neptune
instrument,sensex
sum,378.747668036537
mean,0.024554143794913177
std,1.100842466672062
len,15426.0
amax,15.341753343239217
amin,-23.522822738728657
planet_a,mars
planet_b,sun
instrument,sensex
sum,489.70673130757024
mean,0.03178675394700573
std,1.1072911634554332
len,15406.0
amax,14.8704902867715
amin,-22.61053793496354
planet_a,mars
planet_b,moon
instrument,sensex
sum,294.92796258058087
mean,0.01925494304240919
std,1.0906427650615915
len,15318.0
amax,10.877874499894213
amin,-12.82068434960031
planet_a,mars
planet_b,rahu
instrument,sensex
sum,493.34066353193896
mean,0.031956254924986036
std,1.115565222126069
len,15438.0
amax,15.341753343239217
amin,-23.522822738728657
planet_a,mars
planet_b,mercury
instrument,sensex
sum,339.76674060521947
mean,0.022143296441945893
std,1.0849409811236863
len,15344.0
amax,11.080333065520943
amin,-23.522822738728657
planet_a,mars
planet_b,venus
instrument,sensex
sum,294.92796258058087
mean,0.01925494304240919
std,1.0906427650615915
len,15318.0
amax,10.877874499894213
amin,-12.82068434960031
planet_a,mars
planet_b,ketu
instrument,sensex
sum,397.02067712080964
mean,0.025755476945884547
std,1.1068183799547058
len,15416.0
amax,15.341753343239217
amin,-23.522822738728657
planet_a,jupiter
planet_b,mars
instrument,sensex
sum,197.59593756421407
mean,0.01280429870167281
std,1.0927631333717875
len,15433.0
amax,15.341753343239217
amin,-22.61053793496354
planet_a,jupiter
planet_b,saturn
instrument,sensex
sum,346.0692013083384
mean,0.02225668540152663
std,1.0780731333493652
len,15550.0
amax,12.344069196331574
amin,-23.522822738728657
planet_a,jupiter
planet_b,pluto
instrument,sensex
sum,207.42512948922132
mean,0.013570502419968693
std,1.115695626567163
len,15285.0
amax,12.344069196331574
amin,-23.522822738728657
planet_a,jupiter
planet_b,uranus
instrument,sensex
sum,504.3638520636055
mean,0.033194935636672716
std,1.0911298950724038
len,15194.0
amax,14.8704902867715
amin,-23.522822738728657
planet_a,jupiter
planet_b,neptune
instrument,sensex
sum,254.93755276719997
mean,0.016399971229797413
std,1.1014873179640725
len,15545.0
amax,15.341753343239217
amin,-23.522822738728657
planet_a,jupiter
planet_b,sun
instrument,sensex
sum,373.19008288969906
mean,0.0242772627432799
std,1.1125392747804697
len,15372.0
amax,11.080333065520943
amin,-23.522822738728657
planet_a,jupiter
planet_b,moon
instrument,sensex
sum,535.5676556713837
mean,0.03396547790914408
std,1.0699967517961824
len,15769.0
amax,11.080333065520943
amin,-8.724937343358397
planet_a,jupiter
planet_b,rahu
instrument,sensex
sum,455.69802324183826
mean,0.029409359357330675
std,1.1084386244120015
len,15495.0
amax,15.341753343239217
amin,-23.522822738728657
planet_a,jupiter
planet_b,mercury
instrument,sensex
sum,357.25289474777253
mean,0.023133645972140987
std,1.078265748907483
len,15444.0
amax,14.8704902867715
amin,-12.82068434960031
planet_a,jupiter
planet_b,venus
instrument,sensex
sum,535.5676556713837
mean,0.03396547790914408
std,1.0699967517961824
len,15769.0
amax,11.080333065520943
amin,-8.724937343358397
planet_a,jupiter
planet_b,ketu
instrument,sensex
sum,380.0968779135452
mean,0.024643210445639493
std,1.0818382755386597
len,15425.0
amax,15.341753343239217
amin,-22.61053793496354
planet_a,saturn
planet_b,mars
instrument,sensex
sum,197.59593756421407
mean,0.01280429870167281
std,1.0927631333717875
len,15433.0
amax,15.341753343239217
amin,-22.61053793496354
planet_a,saturn
planet_b,jupiter
instrument,sensex
sum,438.8990865840875
mean,0.028592774370298845
std,1.0227558717136975
len,15350.0
amax,11.080333065520943
amin,-9.915398944427201
planet_a,saturn
planet_b,pluto
instrument,sensex
sum,485.6192326673844
mean,0.03030196135451039
std,1.0924703356542542
len,16027.0
amax,11.364646614313244
amin,-22.61053793496354
planet_a,saturn
planet_b,uranus
instrument,sensex
sum,251.63535878153178
mean,0.015909171067935254
std,1.1039870622240537
len,15818.0
amax,14.8704902867715
amin,-22.61053793496354
planet_a,saturn
planet_b,neptune
instrument,sensex
sum,376.0031012298396
mean,0.024283331259999926
std,1.0824906914040398
len,15485.0
amax,15.341753343239217
amin,-11.728821362799257
planet_a,saturn
planet_b,sun
instrument,sensex
sum,355.5097506661545
mean,0.022947957053069682
std,1.092835756999312
len,15492.0
amax,14.8704902867715
amin,-22.61053793496354
planet_a,saturn
planet_b,moon
instrument,sensex
sum,395.95798132528273
mean,0.025815489719994963
std,1.1000251785445612
len,15338.0
amax,14.8704902867715
amin,-23.522822738728657
planet_a,saturn
planet_b,rahu
instrument,sensex
sum,237.19389523842665
mean,0.015383221690020469
std,1.0849259785204215
len,15419.0
amax,15.341753343239217
amin,-22.61053793496354
planet_a,saturn
planet_b,mercury
instrument,sensex
sum,588.0761040521968
mean,0.038321132806737615
