,sum,mean,std,len,amax,amin,planet,instrument
1.0,71.90683616690075,0.08611597145736616,1.551895743360367,835.0,7.716915520579848,-10.956435420653532,mars,sensex
2.0,51.91839777446826,0.06885729147807462,1.5264582784469722,754.0,8.221009208901297,-5.233455726088854,mars,sensex
3.0,56.392942338470284,0.07449530031502019,1.527075359535106,757.0,11.053047602318621,-7.210031347962376,mars,sensex
4.0,18.887849403844776,0.024819775826340047,1.6880235999821007,761.0,10.457371225577262,-8.736535184960747,mars,sensex
5.0,53.752419945162195,0.06980833759111973,1.5900771278238854,770.0,7.588229339339714,-12.768729350035358,mars,sensex
6.0,65.78712165516184,0.09024296523341817,1.5349055910382325,730.0,7.24243999564389,-7.247049854246312,mars,sensex
7.0,85.42049620684703,0.11239538974585137,1.5636805566022027,760.0,6.68116228503659,-8.411099564783475,mars,sensex
8.0,47.87615573149795,0.05977048156241942,1.5672780397949708,801.0,11.170404066913564,-9.756582506103717,mars,sensex
9.0,45.25584640869189,0.06066467347009637,1.533839186783363,746.0,13.135380280126885,-5.784779568141318,mars,sensex
10.0,64.07007403048645,0.0845251636286101,1.6252347690666482,758.0,7.377212924156273,-8.260884993435303,mars,sensex
11.0,26.495456051040446,0.03328574880783976,1.6264305759348745,796.0,7.919697824951588,-11.138549903646444,mars,sensex
12.0,105.03339278501805,0.13587761032990692,1.6523489491820966,773.0,17.33933438589976,-5.7043925603482375,mars,sensex
1.0,51.88785769226827,0.06126075288343361,1.4982838029268941,847.0,5.79236618618173,-7.247049854246312,jupiter,sensex
2.0,89.14494213575455,0.10574726231999353,1.4200192724366565,843.0,7.377212924156273,-5.849380445094621,jupiter,sensex
3.0,88.81828353732871,0.11005983090127473,1.4222815609511081,807.0,5.649573195393498,-5.822110596284579,jupiter,sensex
4.0,10.827505131917421,0.013723073677968848,1.439439846111937,789.0,6.535837123344823,-7.630461492035446,jupiter,sensex
5.0,34.345986917376116,0.04397693587372102,1.453857775324797,781.0,7.309597359609121,-12.768729350035358,jupiter,sensex
6.0,52.49431626701443,0.06934519982432553,1.911052787522621,757.0,13.135380280126885,-9.756582506103717,jupiter,sensex
7.0,104.60831972756131,0.13638633602028855,1.5800768428536534,768.0,10.457371225577262,-11.138549903646444,jupiter,sensex
8.0,1.261198406305835,0.0016883512801952275,1.6802277395162228,747.0,7.420698433203365,-10.956435420653532,jupiter,sensex
9.0,145.6507155102512,0.19446023432610304,1.8436528640288914,749.0,17.33933438589976,-6.61028306327921,jupiter,sensex
10.0,3.7266277032702915,0.00548840604310794,1.505305120112964,679.0,9.287966921297919,-8.736535184960747,jupiter,sensex
11.0,4.761620936221299,0.0066317840337344,1.7026473862615172,718.0,11.053047602318621,-7.210031347962376,jupiter,sensex
12.0,105.26961453232067,0.13924552186814904,1.4846519558230544,756.0,9.13298541007963,-6.763732616565488,jupiter,sensex
1.0,68.23368438569076,0.10199354915648844,1.4157783949348441,669.0,10.608888033859198,-11.138549903646444,saturn,sensex
2.0,138.96442718740238,0.16046700599007202,1.247575793672961,866.0,5.631659056316596,-7.615195075164749,saturn,sensex
3.0,23.796830813929553,0.03365888375379003,1.5452687411059984,707.0,7.588229339339714,-7.227564154221556,saturn,sensex
4.0,65.17246552266958,0.08431108088314306,1.4278054000493294,773.0,6.427830997998285,-5.849380445094621,saturn,sensex
5.0,70.27652272581685,0.0854945531944244,1.6454520029846023,822.0,10.457371225577262,-6.883184854922176,saturn,sensex
6.0,122.26008107849304,0.1623639854960067,1.7275235121893735,753.0,13.135380280126885,-7.4070275643352,saturn,sensex
7.0,-17.664801082612044,-0.02210863714970218,1.6828939831791558,800.0,11.170404066913564,-12.768729350035358,saturn,sensex
8.0,66.95909017939344,0.09875972002860389,1.7420715793982389,678.0,17.33933438589976,-7.630461492035446,saturn,sensex
9.0,51.23192499286442,0.06714538006928496,1.8717943535375194,763.0,9.13298541007963,-10.956435420653532,saturn,sensex
10.0,81.35978819470495,0.09162138310214521,1.7641343047482867,888.0,9.287966921297919,-8.736535184960747,saturn,sensex
11.0,13.322046123835353,0.019391624634403717,1.5331926824715085,687.0,5.478360374351232,-6.4625506924461895,saturn,sensex
12.0,8.884928375401547,0.010640632784912032,1.270305675629861,835.0,4.151873712805965,-5.28117072254064,saturn,sensex
1.0,39.958834783395936,0.06185578139844572,1.5502283630900986,646.0,8.254090864697371,-11.138549903646444,pluto,sensex
2.0,97.78735690428914,0.1394969428021243,1.6111789754155874,701.0,7.1476406620390565,-6.763732616565488,pluto,sensex
3.0,30.952971284504187,0.04798910276667316,2.338017187776395,645.0,9.287966921297919,-10.956435420653532,pluto,sensex
4.0,65.60656007455744,0.09970601835039124,2.2500708169751413,658.0,17.33933438589976,-12.768729350035358,pluto,sensex
