mars,jupiter,sum,mean,std,len,amax,amin,planet_a,planet_b,instrument
1.0,1.0,5.8155195527349965,0.074557942983782,1.3773237688404225,78.0,4.694286668894088,-3.5173851707398063,mars,jupiter,sensex
1.0,2.0,25.836127718234604,0.2969669852670644,1.206491012922086,87.0,3.694006337146849,-2.8554946639746115,mars,jupiter,sensex
1.0,3.0,6.746399948388511,0.12493333237756502,1.5635786385939547,54.0,5.649573195393498,-3.843696055100776,mars,jupiter,sensex
1.0,4.0,-13.891621420501863,-0.14778320660108366,1.7458200920680824,94.0,5.629382980412978,-7.630461492035446,mars,jupiter,sensex
1.0,5.0,11.694241892577795,0.18272252957152804,1.0773619525552613,64.0,2.4588317289231165,-3.331952327334009,mars,jupiter,sensex
1.0,6.0,-2.658318565593177,-0.05212389344300347,1.8242774888336424,51.0,7.716915520579848,-3.7382204404644126,mars,jupiter,sensex
1.0,7.0,19.582989292514647,0.2838114390219514,1.3914357448862336,69.0,4.9298472957090445,-4.780320227218226,mars,jupiter,sensex
1.0,8.0,-20.723661825894784,-0.2878286364707609,1.943985444619031,72.0,3.1824768131211822,-10.956435420653532,mars,jupiter,sensex
1.0,9.0,21.363176347309956,0.3236844901107569,1.607159619828592,66.0,5.379218744678682,-2.8559321592375397,mars,jupiter,sensex
1.0,10.0,-7.763043281545255,-0.10782004557701744,1.5367786575559923,72.0,4.265597792973774,-4.439784525226786,mars,jupiter,sensex
1.0,11.0,2.2174999154780606,0.046197914905792926,1.9042489222469803,48.0,5.298087379261807,-5.901039436290734,mars,jupiter,sensex
1.0,12.0,23.68752659319734,0.29609408241496676,1.3563610908859611,80.0,5.683910281343185,-2.622938003283548,mars,jupiter,sensex
2.0,1.0,2.3986861197995433,0.032414677294588426,1.455939801314477,74.0,4.42321018480869,-5.233455726088854,mars,jupiter,sensex
2.0,2.0,1.2405570418004617,0.014594788727064255,1.185115441729872,85.0,3.2318694896442013,-3.634706058318271,mars,jupiter,sensex
2.0,3.0,21.418403542212683,0.3630237888510624,1.5497248545831945,59.0,3.935441657579064,-4.26076392438941,mars,jupiter,sensex
2.0,4.0,39.278806188929885,0.4972000783408846,1.4295791494974603,79.0,6.535837123344823,-2.539676309921479,mars,jupiter,sensex
2.0,5.0,-4.992196541558714,-0.09419238757657951,1.1235202069436288,53.0,2.678001520529172,-3.618511030085647,mars,jupiter,sensex
2.0,6.0,-11.330573060744495,-0.19878198352183324,1.4108554667272164,57.0,2.647179896083518,-4.941836136915223,mars,jupiter,sensex
2.0,7.0,14.799285502928049,0.24261123775291885,1.4499023733347927,61.0,4.5126282696710485,-4.411540856569562,mars,jupiter,sensex
2.0,8.0,-11.280860135066018,-0.3223102895733148,1.355286650899388,35.0,2.972244534554025,-3.392326220315367,mars,jupiter,sensex
2.0,9.0,3.6893780671707317,0.05506534428613032,2.4234980718800223,67.0,8.221009208901297,-4.513896987366373,mars,jupiter,sensex
2.0,10.0,5.7556579680698405,0.0834153328705774,1.1964363522394137,69.0,3.207880859343537,-3.4245780915814428,mars,jupiter,sensex
2.0,11.0,-11.46432938140435,-0.23884019544592394,1.7152708240774646,48.0,5.040460566045324,-4.205975438012022,mars,jupiter,sensex
2.0,12.0,2.4055824623306825,0.03590421585568183,1.5417720011370073,67.0,4.516963639443716,-4.154592627535547,mars,jupiter,sensex
3.0,1.0,1.011666815492673,0.012970087378111192,1.1645893827912965,78.0,3.091182105317669,-2.576417296157807,mars,jupiter,sensex
3.0,2.0,-16.16091963184043,-0.29927628947852647,1.192956211648261,54.0,2.5973059462677694,-3.6833372837165146,mars,jupiter,sensex
3.0,3.0,6.691767735798903,0.11152946226331505,1.2724054023353377,60.0,2.909903491042787,-3.7705476820500516,mars,jupiter,sensex
3.0,4.0,4.8567259727551075,0.04808639576985255,1.3123238262336359,101.0,2.8182315224414722,-4.197779156592995,mars,jupiter,sensex
3.0,5.0,-2.2226347561442927,-0.03317365307678049,0.9228616802625383,67.0,2.163104179774278,-2.194527810970792,mars,jupiter,sensex
3.0,6.0,15.000459195131125,0.26316595079177413,1.2077062680622983,57.0,3.5807059574744837,-3.062924476304063,mars,jupiter,sensex
3.0,7.0,23.735308833061364,0.4315510696920248,1.5808258930587138,55.0,5.067696395814192,-2.7872153351544804,mars,jupiter,sensex
3.0,8.0,3.1823572725779825,0.06770972920378686,0.9448544861716204,47.0,1.8631062783765584,-1.871414098732871,mars,jupiter,sensex
3.0,9.0,15.597208252562105,0.1879181717176157,2.177497031213722,83.0,10.608888033859198,-4.807677836389779,mars,jupiter,sensex
3.0,10.0,8.769006163975298,0.1623890030365796,1.3753391177302547,54.0,3.606347171020996,-3.3969165239131405,mars,jupiter,sensex
3.0,11.0,-12.183557163359534,-0.28333853868277986,2.6123635395969,43.0,11.053047602318621,-7.210031347962376,mars,jupiter,sensex
3.0,12.0,8.115553648459855,0.13992333876654922,1.8765650385885317,58.0,9.13298541007963,-3.7680574288712076,mars,jupiter,sensex
4.0,1.0,-11.229923712819172,-0.12761276946385422,1.6050084314948008,88.0,5.79236618618173,-5.2679497907949795,mars,jupiter,sensex
4.0,2.0,-1.9692087338689546,-0.029391175132372455,1.0214964586820516,67.0,2.6073199356829946,-2.665059113566437,mars,jupiter,sensex
4.0,3.0,-9.846881128234129,-0.20514335683821103,1.5393782298453245,48.0,4.20690132558057,-4.295345850192234,mars,jupiter,sensex
4.0,4.0,-4.5589469175860025,-0.06160739077818922,1.6991954386304506,74.0,5.133901024311971,-7.227564154221556,mars,jupiter,sensex
4.0,5.0,-8.5369677246332,-0.11232852269254211,1.545190469821257,76.0,7.309597359609121,-4.51720986023928,mars,jupiter,sensex
4.0,6.0,3.1350628562014213,0.04610386553237384,1.2315199678766127,68.0,2.725711659854402,-4.832463086552097,mars,jupiter,sensex
4.0,7.0,9.46938357722354,0.18567418778869688,2.2381744086009614,51.0,10.457371225577262,-2.307365469039957,mars,jupiter,sensex
4.0,8.0,0.02895757425939216,0.0005362513751739289,1.1365468084982273,54.0,2.8231408845093453,-2.440046217848302,mars,jupiter,sensex
4.0,9.0,28.409417289830166,0.3596128770864578,1.8702016152954197,79.0,5.739194664145653,-4.175088659618787,mars,jupiter,sensex
4.0,10.0,-14.664050409762556,-0.23276270491686596,2.162753507384624,63.0,9.287966921297919,-8.736535184960747,mars,jupiter,sensex
4.0,11.0,17.251967651086865,0.3750427750236275,2.138576769773923,46.0,6.193395455288542,-6.7046945062989804,mars,jupiter,sensex
4.0,12.0,11.399039082147453,0.24253274642866923,1.824549068646419,47.0,3.7329835648562293,-6.763732616565488,mars,jupiter,sensex
5.0,1.0,0.11069877110021586,0.001703058016926398,1.6043099759408863,65.0,3.785556028019599,-5.269741212386747,mars,jupiter,sensex
5.0,2.0,12.146399889273267,0.18403636195868586,1.5538769100680525,66.0,6.4411166574228185,-4.488787429344743,mars,jupiter,sensex
5.0,3.0,-3.7011782944364673,-0.07553425090686668,1.562272376410362,49.0,3.357803413099414,-5.28117072254064,mars,jupiter,sensex
5.0,4.0,12.033156325332321,0.2111080057075846,1.215273772499244,57.0,3.0801936931617035,-2.2053318558870605,mars,jupiter,sensex
5.0,5.0,14.366758350436918,0.19953831042273495,2.298892158462938,72.0,7.1476406620390565,-12.768729350035358,mars,jupiter,sensex
5.0,6.0,0.33655333920825514,0.007160709344856493,2.1909139491091763,47.0,7.588229339339714,-7.153854983435382,mars,jupiter,sensex
5.0,7.0,-9.848725400170322,-0.1106598359569699,1.076031633542452,89.0,4.1860046501162484,-3.3536631094915115,mars,jupiter,sensex
5.0,8.0,-6.56785862330519,-0.08875484626088094,1.7266582422334515,74.0,5.65714571057625,-7.615195075164749,mars,jupiter,sensex
5.0,9.0,28.487749470638285,0.4128659343570766,1.5455586305553386,69.0,4.60394092729024,-6.61028306327921,mars,jupiter,sensex
5.0,10.0,6.898023801820607,0.12101796143544924,1.1641639750965234,57.0,2.57398934073656,-4.09505156287473,mars,jupiter,sensex
5.0,11.0,7.196822234116551,0.13840042757916443,1.1762652288050275,52.0,3.3012207865025456,-2.376532296086753,mars,jupiter,sensex
5.0,12.0,-7.7059799188522655,-0.1055613687514009,1.5726077038312885,73.0,4.881758544069403,-4.954792043399625,mars,jupiter,sensex
6.0,1.0,23.614966524887947,0.3107232437485256,1.9686206378968536,76.0,4.689182640534151,-7.247049854246312,mars,jupiter,sensex
6.0,2.0,0.7404292362776399,0.012138184201272785,1.6091988584876549,61.0,3.8273653163740207,-5.849380445094621,mars,jupiter,sensex
6.0,3.0,6.658451044974234,0.08997906817532748,1.6108134481211254,74.0,3.499430855799446,-4.018283287981584,mars,jupiter,sensex
6.0,4.0,-15.733894421398174,-0.3659045214278645,1.6200714858097307,43.0,3.196870208652758,-5.437434646218209,mars,jupiter,sensex
